"V1","V2","V3"
"P01LXRKOA",-0.0336554883504401,0,0
"P01SVRKJSM",0,0.0650385825997579,0
"P01SVRKJSL",0.0284872323428282,0,0
"P01LXRKOA2",0,0.0392592223553442,0
"V00SF5",0,-0.0155453363573724,0
"V00WPRKN1",0,0,0.0538340763446094
"V00WPRKN5",-0.0464645784396272,0,0
"V00KPRKN2",-0.00497198223180738,0,0
"V00DIRKN8",-0.019029335751773,0.0525590366474342,0
"V00WPLKN1",0,0,0.229830986005751
"V00WPLKN3",0,0,0.142423673416516
"V00KPLKN3",-0.112070474653604,0,0
"V00DILKN8",-0.0149019619747579,0,0
"V00KOOSFX5",-0.0600348741135874,0.0836491746648525,0
"V00WOMKPR",0,0,0.838469514725576
"P01INJL",0.00470166020908243,0,0
"V00CESD11",-0.0139577962538206,0.0535558696797516,0
"V00CESD16",0.0167994151619156,0,0
"V00FFQSZ28",0.00923519494720084,0,0
"V00FFQ33",0,0.0484356515665298,0
"V00FFQ35",-0.00877378187211294,0,0
"V00FFQ37",0,0.00652893947007459,0
"V00FFQSZ61",-0.0166387554857437,0.0317878634706784,0
"V00FFQ64",0,0.0208450391889624,0
"V00DTOLEC",0,0.0371336379984304,0
"V00RLARM",0,-0.00892509196434712,0
"V00TRANSET",0.00868437564294396,0,0
"V00STEPST1",0,0.130450864382127,0
"V00LKEFFPT",0,0.0412195583622567,0
"V00LKMTTPN",0,0.0200814682596004,0
"V00RKPGDPN",0,0.000752039748308634,0
"V00LKPGDPN",-0.0304874834054924,0,0
"P01HEIGHT",0.0240626911565181,0,0
"P01LH3CV",0,0.0253242212326064,0
"V00LKALNMT",0,0.000653144886971985,0
"V00400EXCL",-0.0239574534987419,0,0
